video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=QkJMH4xg2jc&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,"One dead, another injured after shooting inside Seattle's Capitol Hill Organized Protest zone known",238K,3 years,"Seattle police responded to a report of shots fired in Cal Anderson Park, near the intersection of 10th Ave. and E. Pine Street, ...",39:10.4
/watch?v=ay5h5dq14mM&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Inside Seattle's 'Autonomous Zone'. No police allowed.,903K,3 years,"Amidst nationwide protests in the U.S. over the death of George Floyd and biased policing, a pocket of Seattle has emerged as a ...",39:10.4
/watch?v=WZni1VBVD-k&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@komonews,KOMO News,"3 years since CHOP: Seattle's Capitol Hill still bears the scars of 2020 protests, occupation",17K,6 months,"Three years ago this week, the Capitol Hill Organized Protest, also known as CHOP, was dismantled. Yet, the scars in this ...",39:10.4
/watch?v=krgZ4X7tK2g&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Seattle's 'Capitol Hill Organized Protest' makes national headlines amid differing views and names,62K,3 years,"The area around Seattle's 12th and Pine is known as the CHOP, or ""Capitol Hill Organized Protest.",39:10.5
/watch?v=_KqQu7RR_eg&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@msnbc,MSNBC,Inside Look At Seattle's Capitol Hill Organized Protest Zone After Shooting | MSNBC,23K,3 years,"MSNBC delivers breaking news and in-depth analysis of the headlines, as well as informed perspectives. Find video clips and ...",39:10.5
/watch?v=_kyWxtZF7CY&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Voices from inside CHOP the 'Capitol Hill Organized Protest' zone in Seattle,18K,3 years,"People continued to gather for speeches, art, and more inside what's now being called CHOP, the 'Capitol Hill Organized Protest' ...",39:10.5
/watch?v=sgs3ehR5s1k&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Police continue to investigate deadly shooting inside the Capitol Hill Organized Protest zone CHOP,20K,3 years,Seatle Mayor Jenny Durkan and CHOP organizers are also considering changes to the Capitol Hill Organized Protest zone to ...,39:10.5
/watch?v=9i06K0O6iLo&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@globalnews,Global News,Seattle police move in on Capitol Hill Organized Protest (CHOP) zone,56K,Streamed 3 years,WARNING: Feed was streamed live and may contain instance of violence or graphic language not suitable for all viewers.,39:10.5
/watch?v=Fz9SYd8rvxo&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Frustrated residents near Seattle's 'CHOP' zone want their neighborhood back,727K,3 years,"Some residents near the ""Capitol Hill Organized Protest"" want their lives back amid ongoing occupation in their neighborhood.",39:10.5
/watch?v=Ue6GoEG_V6M&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Protests and arrests continue on Seattle's Capitol Hill after the fall of 'CHOP',53K,3 years,"Seattle's ""Capitol Hill Organized Protest"" zone was dismantled early Wednesday, but protests and arrests are ongoing in the ...",39:10.5
