video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=skpz1xNNG0w&pp=ygUDQkxN,/@VICENews,VICE News,Hearing From the Founder of Black Lives Matter (2020 Interview) | Hear Me Out,60K,5 months,"This episode of Hear Me Out was created in 2020. In July 2020, in the wake of Geoge Floyd's death, the chant heard around the ...",57:22.5
/watch?v=_VDGysJGNoI&pp=ygUDQkxN,/channel/UCVS88tG_NYgxF6Udnx2815Q,Lil Baby Official ,Lil Baby - The Bigger Picture (Official Music Video),190M,3 years,"""The Bigger Picture"" Lyrics: [Verse 1] Trade my 4x4 for a G63, ain't no more free Lil Steve I gave 'em chance and chance and ...",57:22.5
/watch?v=h9auclc8OM0&pp=ygUDQkxN,/@Reuters,Reuters,Statue of BLM protester removed after one day,7.4M,3 years,A sculpture of Black Lives Matter protester Jen Reid was abruptly removed. Bristol City Council said no permission for its ...,57:22.5
/watch?v=4Vl4I0weXPU&pp=ygUDQkxN,/@GreatBigStory,Great Big Story,Black Lives Matter Protests Around the World,1.4M,3 years,"Protesters of all ages, all races, all backgrounds are showing up at Black Lives Matter protests out of love for their fellow human ...",57:22.5
/watch?v=A2o15RCtSS0&pp=ygUDQkxN,/channel/UCvvVOIyaYu2l4jiH9L8_eRw,Dax,Dax - BLACK LIVES MATTER (Official Music Video),6M,3 years,"[Lyrics Below] Remember when we were kids and didn't see color? Like, Comment, and Share... Proceeds going to Campaign ...",57:29.6
/watch?v=i_OU4EcWQ6I&pp=ygUDQkxN,/@crashcourse,CrashCourse,Black Lives Matter: Crash Course Black American History #51,156K,1 year,"In the final episode of Crash Course Black American History, Clint Smith teaches you about the Black Lives Matter movement.",57:29.6
/watch?v=Eqa52SQyCSY&pp=ygUDQkxN,/@LawAndCrime,Law&Crime Network,'They're Trying to George Floyd Me!': BLM Co-Founder's Cousin Dies After Brutal Tasing in LA,152K,1 year,"Bodycam footage released by the LAPD shows officers tasing a ""belligerent"" suspect on January 3. ""They're trying to George ...",57:29.7
/watch?v=JBNLWdvZ5ig&pp=ygUDQkxN,/@WPRI,WPRI,Black Lives Matter RI activist throws support behind Trump,16K,1 month,A man who was once a prominent Black Lives Matter Rhode Island activist has publicly announced he is backing Donald Trump ...,57:29.7
/watch?v=FLm8SHBUkKQ&pp=ygUDQkxN,/@TMZ,TMZ,BLM Chicago Celebrates Hamas' Massacre of Jews | TMZ Live,36K,3 months,Black Lives Matter came under heavy fire after its Chicago chapter released an online image celebrating Hamas' slaughter of ...,57:29.7
/watch?v=XnWAEWbOjtM&pp=ygUDQkxN,/@FoxNews,Fox News,"'I STUMP FOR TRUMP': BLM leader calls out Democrats, endorses Trump",203K,1 month,Mark Fisher joined 'FOX & Friends' to discuss why he supports the former president and why he doesn't believe Democrats stand ...,57:29.7
