video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=vksEJR9EPQ8&pp=ygUMR2VvcmdlIEZsb3lk,/@nytimes,The New York Times,How George Floyd Was Killed in Police Custody | Visual Investigations,14M,3 years,"The Times has reconstructed the death of George Floyd on May 25. Security footage, witness videos and official documents show ...",32:03.5
/watch?v=spJPCJ4RLSg&pp=ygUMR2VvcmdlIEZsb3lk,/@ABCNews,ABC News,Who was George Floyd before he was killed in police custody?,535K,2 years,"Floyd, who grew up in a tough Houston neighborhood, had big dreams before he began to struggle with drugs. His family and ...",32:03.5
/watch?v=xvW6PLIDsbI&pp=ygUMR2VvcmdlIEZsb3lk,/@SkyNews,Sky News,8 Minutes and 46 Seconds: The Killing of George Floyd | Full Documentary,686K,3 years,"For 8 minutes and 46 seconds, George Floyd was pinned to the ground with a policeman's knee on his neck. This documentary ...",32:03.5
/watch?v=kiSm0Nuqomg&pp=ygUMR2VvcmdlIEZsb3lk,/@NBCNews,NBC News,Watch A Minute-To-Minute Breakdown Leading Up To George Floyd's Deadly Arrest | NBC News NOW,9.6M,3 years,Millions have watched the video of George Floyd struggling to breathe while handcuffed and pinned to the ground by a ...,32:03.5
/watch?v=CEZh0C-pmaw&pp=ygUMR2VvcmdlIEZsb3lk,/@Turnto23KERO,23 ABC News | KERO,CONTENT WARNING: Video of the Arrest of George Floyd in Minneapolis,1.6M,3 years,Warning. This item contains material that some viewers may find disturbing due to the graphic nature.*** The FBI is investigating ...,32:03.5
/watch?v=BvOGBdES4sQ&pp=ygUMR2VvcmdlIEZsb3lk,/@BBCNews,BBC News,What did other three officers play in George Floyd's death? - BBC News,113K,1 year,Derek Chauvin was found guilty of murdering George Floyd on a Minneapolis street but he was only one of four police officers ...,32:03.5
/watch?v=629QZ-nfsyY&pp=ygUMR2VvcmdlIEZsb3lk,/@ABCNews,ABC News,"George Floyd: A Man, A Moment, America Changed l 20/20 l PART 4",155K,2 years,Bystanders plead with and try to stop officers from holding down George Floyd: Part 4 A crowd gathered around Floyd and the ...,32:03.5
/shorts/QmYwGmLVxgY,/@TRTWorldNow,TRT World Now,Cop involved in George Floyd's death confronted while grocery shopping,205K,3 years,"A shopper confronted J Alexander Keung, one of the four former Minneapolis cops charged in the killing of George Floyd, as he ...",32:03.6
/watch?v=qax9Q2SbQO4&pp=ygUMR2VvcmdlIEZsb3lk,/@WION,WION,George Floyd trial | New bodycam footage of Floyd's arrest | Day 3 highlights | Latest English News,1.1M,2 years,Several witnesses broke down on witness stand after watching new bodycam footage showing Floyd's arrest & final moments.,32:03.6
/watch?v=1Fpivi5ljhI&pp=ygUMR2VvcmdlIEZsb3lk,/@livenowfox,LiveNOW from FOX,"George Floyd: Police bodycam video played in court, showing full encounter with Derek Chauvin",269K,2 years,Day 3 of the Derek Chauvin trial brought emotional testimony and police bodycam footage of the arrest of George Floyd. Floyd ...,32:03.6
/watch?v=1CjE7J4ig_4&pp=ygUMR2VvcmdlIEZsb3lk,/@GMA,Good Morning America,Never-before-seen video of George Floyd played in Derek Chauvin trial l GMA,2.8M,2 years,Follow GMA: TikTok: tiktok.com/@gma Facebook:facebook.com/GoodMorningAmerica Twitter: twitter.com/gma Instagram: ...,32:03.6
/watch?v=jSgDyMIxb94&pp=ygUMR2VvcmdlIEZsb3lk,/@NBCNews,NBC News,Former Minneapolis officer Tou Thao convicted in George Floyd's death,76K,8 months,Former Minneapolis police officer Tou Thao was convicted of aiding and abetting second-degree manslaughter in Floyd's death.,32:03.6
/watch?v=BdP9gKF5K-A&pp=ygUMR2VvcmdlIEZsb3lk,/@CNN,CNN,ER doctor who treated George Floyd testifies on cause of death,2M,2 years,The Hennepin County Medical Center doctor who treated Floyd and declared him dead last May testified that he believed Floyd ...,32:03.6
/watch?v=tpfzIHtfQPg&pp=ygUMR2VvcmdlIEZsb3lk,/@wgntv,WGN News,"Ex-officer Derek Chauvin, convicted in George Floyd's killing, stabbed in prison, AP source says",51K,1 month,"Derek Chauvin, the former Minneapolis police officer convicted of murdering George Floyd, was stabbed by another inmate and ...",32:03.6
/watch?v=Eqa52SQyCSY&pp=ygUMR2VvcmdlIEZsb3lk,/@LawAndCrime,Law&Crime Network,'They're Trying to George Floyd Me!': BLM Co-Founder's Cousin Dies After Brutal Tasing in LA,152K,1 year,"Bodycam footage released by the LAPD shows officers tasing a ""belligerent"" suspect on January 3. ""They're trying to George ...",32:03.6
/watch?v=c6jHCGtPu5M&pp=ygUMR2VvcmdlIEZsb3lk,/@CNBCtelevision,CNBC Television,New video shows George Floyd in store before deadly encounter with police,347K,2 years,Turn to CNBC TV for the latest stock market news and analysis. From market futures to live price updates CNBC is the leader in ...,32:03.6
/watch?v=cwtB-RZJLiQ&pp=ygUMR2VvcmdlIEZsb3lk,/@AssociatedPress,Associated Press,Ex-officer gets nearly 5 years for George Floyd's killing,214K,5 months,"Tou Thao, the last former Minneapolis officer convicted in state court for his role in the killing of George Floyd, has been sentenced ...",32:03.6
/watch?v=GbSjqT4Zy1g&pp=ygUMR2VvcmdlIEZsb3lk,/@ABCNews,ABC News,Latest body camera video shows onlookers’ horror during George Floyd arrest | WNT,847K,3 years,Former Minneaoplis cop Tou Thao's defense team argued Thao's body cam video proved he was controlling agitated bystanders ...,32:03.6
